Date,vf_GARCH,vf_CPGARCH,vf_ICPGARCH,vf_GJR,vf_CPGJR,vf_ICPGJR,vf_RSGARCH,vf_CPRSGARCH,vf_ICPRSGARCH,vf_HAR,vf_CPHAR,vf_ICPHAR,vf_HAR_a,vf_CPHAR_a,vf_ICPHAR_a
15-Jun-2021,2.38589757073839e-05,0.000112429125608327,4.50941715352837e-05,2.27742037124751e-05,4.50033768893553e-05,4.50033768893553e-05,3.26641539520221e-05,6.09580965750144e-05,6.40674923876218e-05,9.27438893163959e-06,1.1425091616832e-05,1.1425091616832e-05,8.84143559576759e-06,1.06252859126933e-05,1.06252859126933e-05
16-Jun-2021,2.481210178737e-05,0.000111977901466321,4.65751983138805e-05,2.44282414472015e-05,4.69887347336699e-05,4.69887347336699e-05,3.12402609964901e-05,5.12171084923259e-05,5.15719665096437e-05,9.91717845175696e-06,1.19540971060991e-05,1.19540971060991e-05,9.33061731402238e-06,1.10508418334346e-05,1.10508418334346e-05
17-Jun-2021,3.52205605015136e-05,0.000111765057345984,5.74188078217488e-05,3.62373072622649e-05,6.11355104237624e-05,6.11355104237624e-05,4.38519568335149e-05,6.02070965236842e-05,7.63620042385376e-05,1.16627697355275e-05,1.41009669075114e-05,1.41009669075114e-05,1.18359420737724e-05,1.4790232296911e-05,1.4790232296911e-05
18-Jun-2021,3.07013230200725e-05,0.000111332140269537,4.97650430396546e-05,3.27083637356922e-05,5.19485872337664e-05,5.19485872337664e-05,3.37258223743493e-05,5.08565151357885e-05,6.72636590569893e-05,3.33311703492281e-05,3.28756662715181e-05,3.28756662715181e-05,3.24395120708932e-05,3.40831938691236e-05,3.40831938691236e-05
21-Jun-2021,8.75083518551808e-05,0.000111638511049648,0.000108546567428858,0.000110607811177845,0.000130413175259468,0.000130413175259468,0.000144919772336184,0.000122673246894787,0.00011517664105492,2.99155886445291e-05,3.13938519938431e-05,3.13938519938431e-05,2.55032962659787e-05,2.58700148465812e-05,2.58700148465812e-05
22-Jun-2021,0.000114921157671512,0.000111766655004948,0.000125108239762117,0.000113235558834181,0.000116383805596576,0.000116383805596576,0.000163179334703917,0.000136356554564608,0.000136994302251981,4.16623065774091e-05,4.14257040923367e-05,4.14257040923367e-05,5.27568924086646e-05,6.07856612676791e-05,6.07856612676791e-05
23-Jun-2021,9.10297995390894e-05,0.000111732130335397,8.69077770539034e-05,8.75187365422018e-05,8.28334010144334e-05,8.28334010144334e-05,0.000113579896669394,0.000100051832854376,0.000100655090449105,2.57096896996507e-05,2.91616085361254e-05,2.91616085361254e-05,2.89322095105238e-05,3.56457999060005e-05,3.56457999060005e-05
24-Jun-2021,7.12146768027625e-05,0.000111443216775297,6.57117737724416e-05,6.89794224596382e-05,6.47434397968815e-05,6.47434397968815e-05,8.05076630455434e-05,7.72935630206197e-05,7.70793171633796e-05,1.77711133515295e-05,2.15801775400149e-05,2.15801775400149e-05,1.80466421969152e-05,2.22416321683419e-05,2.22416321683419e-05
25-Jun-2021,6.18945408348541e-05,0.000111205211827561,6.0564620415982e-05,5.81494587372719e-05,5.80520019047478e-05,5.80520019047478e-05,7.1694342833308e-05,9.17481059302962e-05,7.30647006463959e-05,1.73468731777639e-05,2.05070295032326e-05,2.05070295032326e-05,1.62623106049958e-05,1.91319542261369e-05,1.91319542261369e-05
28-Jun-2021,5.03887664907014e-05,0.000110975701364658,5.28595774829566e-05,4.72657689672324e-05,5.14469885467723e-05,5.14469885467723e-05,6.05711608989132e-05,6.68449805486357e-05,6.61267510097649e-05,1.0878892320817e-05,1.31873921317124e-05,1.31873921317124e-05,1.16444034785477e-05,1.47644674480855e-05,1.47644674480855e-05
29-Jun-2021,4.12409441105962e-05,0.000110739867800011,4.78879166694399e-05,3.88678415639263e-05,4.71694086102036e-05,4.71694086102036e-05,5.14077385982617e-05,6.03996754885241e-05,5.93391470807699e-05,5.69057577706005e-06,7.56888567454694e-06,7.56888567454694e-06,6.06527003517952e-06,8.36467543912037e-06,8.36467543912037e-06
30-Jun-2021,3.45799930593299e-05,0.000110499002143502,4.50149052060836e-05,3.26516335162476e-05,4.44626138548766e-05,4.44626138548766e-05,4.37072128543333e-05,5.28774727386421e-05,5.27581393323761e-05,7.80839934328339e-06,9.58083496852292e-06,9.58083496852292e-06,7.41976796306509e-06,9.27559192284531e-06,9.27559192284531e-06
01-Jul-2021,2.95545357064876e-05,0.000110278575500517,4.29960894785218e-05,2.7089316352386e-05,4.25824957564545e-05,4.25824957564545e-05,3.86343663050088e-05,4.94139587728248e-05,6.19485151373618e-05,6.24524495509052e-06,7.79293150670136e-06,7.79293150670136e-06,5.6282717300418e-06,6.96019723218642e-06,6.96019723218642e-06
02-Jul-2021,3.08437305139769e-05,0.000109978666561299,4.7034326132991e-05,2.83995182742322e-05,4.49020014569506e-05,4.49020014569506e-05,4.47921898439323e-05,6.45529850172265e-05,5.43116328196785e-05,6.42345889136987e-06,7.86363679897462e-06,7.86363679897462e-06,5.9556096778677e-06,7.40524214014229e-06,7.40524214014229e-06
06-Jul-2021,3.86462767675269e-05,0.000109716067490074,5.6257925395102e-05,3.37791046036548e-05,5.0620088366301e-05,5.0620088366301e-05,6.12808144283298e-05,6.65804441594869e-05,6.7148820654477e-05,6.57835469500689e-06,7.8445025248105e-06,7.8445025248105e-06,7.0011030661666e-06,8.59497544263647e-06,8.59497544263647e-06
07-Jul-2021,3.56381016591213e-05,0.000109402106518575,5.11276545608067e-05,3.22037574859653e-05,4.90023177686879e-05,4.90023177686879e-05,4.75355992408322e-05,5.64127783594937e-05,6.89542883129744e-05,5.93730862764838e-06,7.48570966242773e-06,7.48570966242773e-06,7.22595391447171e-06,1.00544100790374e-05,1.00544100790374e-05
08-Jul-2021,3.1680789958198e-05,0.00010900375394676,4.66457697618558e-05,2.87716702861633e-05,4.52894959024589e-05,4.52894959024589e-05,4.36456386986139e-05,5.5226926672009e-05,5.39601522155261e-05,1.43278033112207e-05,1.60662610525413e-05,1.60662610525413e-05,1.34184825336988e-05,1.57596243937631e-05,1.57596243937631e-05
09-Jul-2021,5.60824183846837e-05,0.000108777612412313,7.36402612564598e-05,6.57190710286176e-05,8.25360217908411e-05,8.25360217908411e-05,6.92849211095765e-05,7.00269640107642e-05,7.11391176364877e-05,1.87279494682288e-05,2.09399931155712e-05,2.09399931155712e-05,1.67331838914814e-05,1.90707188155433e-05,1.90707188155433e-05
12-Jul-2021,7.46589767357799e-05,0.000108739853866172,8.81118795553054e-05,6.89557700179723e-05,8.03270392821843e-05,8.03270392821843e-05,0.000104034527104239,9.39885022939982e-05,9.40155584239211e-05,3.40315718100697e-05,3.36648952595472e-05,3.36648952595472e-05,3.65604379291743e-05,3.92592014376092e-05,3.92592014376092e-05
13-Jul-2021,5.94344076168772e-05,0.000108404990473497,6.45035414780621e-05,5.58860633048832e-05,6.1059338440688e-05,6.1059338440688e-05,7.58406475864984e-05,7.41686805313075e-05,7.4155423117763e-05,1.49698671106021e-05,1.64422147911232e-05,1.64422147911232e-05,1.74018586889921e-05,1.99923264227602e-05,1.99923264227602e-05
14-Jul-2021,5.38650614874625e-05,0.000108152037166868,5.88234889112194e-05,5.19122958548902e-05,5.90669200790754e-05,5.90669200790754e-05,6.10440940766456e-05,6.51549736124713e-05,6.46076279303396e-05,1.08665281277002e-05,1.27241612621959e-05,1.27241612621959e-05,1.10458498436168e-05,1.28789216434241e-05,1.28789216434241e-05
15-Jul-2021,4.34084899466805e-05,0.000107856856402744,4.89829214549045e-05,4.18374939005442e-05,4.93246187347383e-05,4.93246187347383e-05,4.95018170994328e-05,7.00561997654502e-05,5.64866814370765e-05,2.03978162381433e-05,2.160305697727e-05,2.160305697727e-05,2.1566345007751e-05,2.34641118807467e-05,2.34641118807467e-05
16-Jul-2021,4.17663661468394e-05,0.000107988066017593,5.02715930236936e-05,4.18803072784698e-05,5.18669757461911e-05,5.18669757461911e-05,4.5144194666413e-05,5.45260874795761e-05,5.39332358292139e-05,1.9614816566782e-05,2.09701540494413e-05,2.09701540494413e-05,1.73072792985485e-05,1.81880557517564e-05,1.81880557517564e-05
19-Jul-2021,5.74195534293863e-05,0.000107366341317205,6.85978149753555e-05,6.47729326492041e-05,7.71446216790391e-05,7.71446216790391e-05,6.17569843721456e-05,7.56282965064739e-05,6.78753272843594e-05,2.27988543763105e-05,2.38122335142624e-05,2.38122335142624e-05,2.25490343554444e-05,2.42478354671907e-05,2.42478354671907e-05
20-Jul-2021,0.00013270836002569,0.000107992000989225,0.000149867220755424,0.000204129879487742,0.00019328110845567,0.00019328110845567,0.000160312149011124,0.000138093998332334,0.000141382924641505,2.20290017382202e-05,2.33710019993577e-05,2.33710019993577e-05,2.75534537890594e-05,3.23891993432798e-05,3.23891993432798e-05
21-Jul-2021,0.000156275877355683,0.000108173030659512,0.000154151899024133,0.000148395461351339,0.000148788661526073,0.000148788661526073,0.000176515590327016,0.000168591684541403,0.000158558201066508,4.70643845864334e-05,4.43956471182571e-05,4.43956471182571e-05,6.12576602819482e-05,6.45377767788121e-05,6.45377767788121e-05
